Postcode,Threshold1,Threshold2,Threshold3,Threshold4,CardsInForce0,CardsInForce1,CardsInForce2,Transactions,SpentAtMerchants,RetailTransactions,SpentAtRetailMerchants,DiningTransactions,SpentAtDiningMerchants,LodgeTransactions,SpentAtLodgeMerchants
2105,x,,,,978,951,27,"2,661","1,370,310.64",363,485180.44,1463,133280.32,15,6543.5
2106,,,x,,4481,4342,139,"287,178","14,804,885.05",225121,9766966.32,24764,1698214.69,0,0
2107,,,x,,6971,6729,242,"176,047","16,298,480.61",136372,11212652.75,8899,1121403.94,36,19408.74
2108,x,,,,1123,1098,25,"17,540","4,825,805.93",3171,597015.61,14268,4012404.8,0,0
2109,x,,,,248,15,233,"11,057","15,591,661.76",917,134161.62,1912,170288.12,192,496977.82
2110,,,x,,6065,5849,216,"109,958","12,505,760.51",51460,3998434.53,23060,3495222.95,16,28241.65
2111,,,x,,5435,5202,233,"240,698","24,496,911.84",193053,18767936.71,28613,1721383.49,0,0
2112,,,x,,8338,8060,278,"481,567","31,147,737.95",373858,23415702.16,43276,3462547.91,554,171558.76
2113,,,x,,11668,5800,5868,"5,970,768","4,534,409,352.35",1603014,3983124661,204400,8555969.91,23951,12094469.11
2114,,,x,,6639,6135,504,"326,415","27,813,632.36",182014,12986285.93,31345,676795.17,456,106944
2115,,,x,,1897,1792,105,"65,231","2,886,393.34",50257,2095139.93,7845,249031.16,0,0
2116,,,x,,1658,1068,590,"90,871","17,700,143.29",56439,14085954.72,19970,371809.65,0,0
2117,,,x,,5223,5085,138,"38,143","2,927,657.13",8027,769976.22,144,264367.75,0,0
2118,,,x,,7931,7769,162,"467,516","25,445,986.72",402885,21083561.49,12814,435976.99,0,0
2119,,,x,,5735,5552,183,"18,698","3,911,290.95",11360,1540259.83,3409,288337,0,0
2120,,,x,,7143,6851,292,"481,654","44,246,083.61",340862,30677487.47,43574,791250.25,1985,590299.52
2121,,,x,,9598,9332,266,"234,613","13,965,636.10",180781,8116993.63,5699,324895.33,0,0
2122,,,x,,9880,9691,189,"318,122","18,903,790.87",217394,11237805.24,7634,1193752.01,41,10036.1
2123,x,,,,14,14,0,"1,005","114,418.79",20,7513.49,985,106905.3,0,0
2124,,,x,,1474,512,962,"11,164","8,641,979.94",4461,8361489.63,4262,46708.2,0,0
2125,,,x,,8897,8113,784,"153,842","8,322,318.39",115725,5823629.4,5379,218087.75,70,139363.23
2126,,,x,,8344,8104,240,"194,546","13,968,218.82",184533,11676489.49,2071,117888.75,0,0
2127,,,x,,4368,4134,234,"179,281","55,099,276.92",61733,32781871.31,60536,3836785.62,9861,4452113.91
2128,,,x,,1008,547,461,"46,140","63,527,014.04",30698,55875599.85,4053,561316.96,0,0
2129,x,,,,231,154,77,"56,888","6,367,659.32",56523,6340585.87,318,25462.25,0,0
2130,,,x,,2169,2090,79,"80,382","19,070,225.91",55435,3600911.88,4780,444829.13,0,0
2131,,,x,,5000,4916,84,"379,588","26,182,432.63",354215,23118746.77,5430,276156.33,395,136924.48
2132,,,x,,3489,3267,222,"19,524","3,420,803.43",3394,1229318.72,11568,199471.08,0,0
2133,,,x,,2890,2818,72,"94,234","4,223,847.92",1020,121763.19,11263,401605.63,0,0
2134,,,x,,4732,4496,236,"645,776","52,381,281.09",514773,33564565.55,24876,875092.73,676,262058.11
2135,,,x,,9712,9489,223,"156,884","8,829,085.43",111952,4456839.33,3243,308390.07,202,68242.5
2136,,,x,,2497,2397,100,"74,517","15,315,745.44",39825,11982103.7,18165,979391.72,335,84421.36
2137,,,x,,10755,10507,248,"507,502","53,943,905.66",381335,32965870.34,24905,2570673.04,351,22402.3
2138,,,x,,7115,5933,1182,"358,818","63,171,786.88",294862,52418507.76,49865,4498605.06,1,2525
2139,x,,,,2,2,0,"1,635","192,281.22",655,34771.85,490,50805.28,0,0
2140,,,x,,3328,3192,136,"276,602","102,887,319.90",242993,81243784.41,7738,246514.87,9612,3058894.23
2141,,,x,,4496,4358,138,"635,692","105,297,040.60",578050,97252571.24,29531,1722337.02,86,26076.26
2142,,,x,,2971,2758,213,"1,014,990","1,213,298,876.80",129189,21885444.36,19919,753002.3,9026,3751033.03
2143,x,,,,1348,1127,221,"6,019","4,817,259.16",3690,4540999.12,1459,41614.85,0,0
2144,,,x,,3563,3435,128,"201,380","59,795,053.09",155376,51469330.62,27647,464305.21,5,635.9
2145,,,x,,11840,11449,391,"475,255","47,450,676.38",368202,40332714.4,40837,1142535.82,948,222678.33
